,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(0.36, 0.37]","7,709",829,9.30,"202,255","218,315","11,723","67,203",3.25,0.24,0.85,0.57
"(0.37, 0.38]","7,811",877,8.91,"210,066","210,504","12,600","66,326",3.17,0.24,0.84,0.55
"(0.38, 0.39]","7,659",974,7.86,"217,725","202,845","13,574","65,352",3.10,0.24,0.83,0.54
"(0.39, 0.4]","7,693",984,7.82,"225,418","195,152","14,558","64,368",3.03,0.25,0.82,0.52
"(0.4, 0.41]","7,410",982,7.55,"232,828","187,742","15,540","63,386",2.96,0.25,0.80,0.50
"(0.41, 0.42]","7,241","1,018",7.11,"240,069","180,501","16,558","62,368",2.89,0.26,0.79,0.49
"(0.42, 0.43]","7,166","1,076",6.66,"247,235","173,335","17,634","61,292",2.83,0.26,0.78,0.47
"(0.43, 0.44]","6,942","1,071",6.48,"254,177","166,393","18,705","60,221",2.76,0.27,0.76,0.45
"(0.44, 0.45]","6,845","1,046",6.54,"261,022","159,548","19,751","59,175",2.70,0.27,0.75,0.44
"(0.45, 0.46]","6,686","1,089",6.14,"267,708","152,862","20,840","58,086",2.63,0.28,0.74,0.42
"(0.46, 0.47]","6,701","1,167",5.74,"274,409","146,161","22,007","56,919",2.57,0.28,0.72,0.41
"(0.47, 0.48]","6,565","1,149",5.71,"280,974","139,596","23,156","55,770",2.50,0.29,0.71,0.39
"(0.48, 0.49]","6,502","1,149",5.66,"287,476","133,094","24,305","54,621",2.44,0.29,0.69,0.38
"(0.49, 0.5]","6,250","1,220",5.12,"293,726","126,844","25,525","53,401",2.38,0.30,0.68,0.36
"(0.5, 0.51]","5,885","1,230",4.78,"299,611","120,959","26,755","52,171",2.32,0.30,0.66,0.35
"(0.51, 0.52]","5,933","1,249",4.75,"305,544","115,026","28,004","50,922",2.26,0.31,0.65,0.33
"(0.52, 0.53]","5,651","1,270",4.45,"311,195","109,375","29,274","49,652",2.20,0.31,0.63,0.32
"(0.53, 0.54]","5,495","1,251",4.39,"316,690","103,880","30,525","48,401",2.15,0.32,0.61,0.30
"(0.54, 0.55]","5,447","1,304",4.18,"322,137","98,433","31,829","47,097",2.09,0.32,0.60,0.29
"(0.55, 0.56]","5,199","1,334",3.90,"327,336","93,234","33,163","45,763",2.04,0.33,0.58,0.28
"(0.56, 0.57]","4,983","1,325",3.76,"332,319","88,251","34,488","44,438",1.99,0.33,0.56,0.27
"(0.57, 0.58]","4,914","1,287",3.82,"337,233","83,337","35,775","43,151",1.93,0.34,0.55,0.25
"(0.58, 0.59]","4,790","1,323",3.62,"342,023","78,547","37,098","41,828",1.88,0.35,0.53,0.24
"(0.59, 0.6]","4,560","1,398",3.26,"346,583","73,987","38,496","40,430",1.83,0.35,0.51,0.23
"(0.6, 0.61]","4,363","1,388",3.14,"350,946","69,624","39,884","39,042",1.78,0.36,0.49,0.22
"(0.61, 0.62]","4,146","1,398",2.97,"355,092","65,478","41,282","37,644",1.74,0.37,0.48,0.21
"(0.62, 0.63]","4,067","1,369",2.97,"359,159","61,411","42,651","36,275",1.69,0.37,0.46,0.20
"(0.63, 0.64]","3,932","1,342",2.93,"363,091","57,479","43,993","34,933",1.65,0.38,0.44,0.19
"(0.64, 0.65]","3,784","1,329",2.85,"366,875","53,695","45,322","33,604",1.60,0.38,0.43,0.17
"(0.65, 0.66]","3,659","1,380",2.65,"370,534","50,036","46,702","32,224",1.55,0.39,0.41,0.16
"(0.66, 0.67]","3,498","1,343",2.60,"374,032","46,538","48,045","30,881",1.51,0.40,0.39,0.15
"(0.67, 0.68]","3,380","1,347",2.51,"377,412","43,158","49,392","29,534",1.46,0.41,0.37,0.15
"(0.68, 0.69]","3,216","1,380",2.33,"380,628","39,942","50,772","28,154",1.42,0.41,0.36,0.14
"(0.69, 0.7]","3,071","1,293",2.38,"383,699","36,871","52,065","26,861",1.37,0.42,0.34,0.13
"(0.7, 0.71]","2,890","1,332",2.17,"386,589","33,981","53,397","25,529",1.33,0.43,0.32,0.12
"(0.71, 0.72]","2,703","1,338",2.02,"389,292","31,278","54,735","24,191",1.29,0.44,0.31,0.11
"(0.72, 0.73]","2,625","1,306",2.01,"391,917","28,653","56,041","22,885",1.25,0.44,0.29,0.10
"(0.73, 0.74]","2,472","1,278",1.93,"394,389","26,181","57,319","21,607",1.21,0.45,0.27,0.10
"(0.74, 0.75]","2,279","1,276",1.79,"396,668","23,902","58,595","20,331",1.18,0.46,0.26,0.09
"(0.75, 0.76]","2,177","1,269",1.72,"398,845","21,725","59,864","19,062",1.14,0.47,0.24,0.08
"(0.76, 0.77]","2,102","1,272",1.65,"400,947","19,623","61,136","17,790",1.10,0.48,0.23,0.07
"(0.77, 0.78]","1,925","1,288",1.49,"402,872","17,698","62,424","16,502",1.07,0.48,0.21,0.07
"(0.78, 0.79]","1,951","1,261",1.55,"404,823","15,747","63,685","15,241",1.03,0.49,0.19,0.06
"(0.79, 0.8]","1,712","1,267",1.35,"406,535","14,035","64,952","13,974",1.00,0.50,0.18,0.06
"(0.8, 0.81]","1,582","1,200",1.32,"408,117","12,453","66,152","12,774",0.97,0.51,0.16,0.05
"(0.81, 0.82]","1,524","1,182",1.29,"409,641","10,929","67,334","11,592",0.94,0.51,0.15,0.05
"(0.82, 0.83]","1,412","1,173",1.20,"411,053","9,517","68,507","10,419",0.91,0.52,0.13,0.04
"(0.83, 0.84]","1,331","1,081",1.23,"412,384","8,186","69,588","9,338",0.88,0.53,0.12,0.04
"(0.84, 0.85]","1,219","1,052",1.16,"413,603","6,967","70,640","8,286",0.84,0.54,0.10,0.03
"(0.85, 0.86]","1,115","1,026",1.09,"414,718","5,852","71,666","7,260",0.81,0.55,0.09,0.03
"(0.86, 0.87]",983,963,1.02,"415,701","4,869","72,629","6,297",0.77,0.56,0.08,0.02
"(0.87, 0.88]",888,893,0.99,"416,589","3,981","73,522","5,404",0.74,0.58,0.07,0.02
"(0.88, 0.89]",799,806,0.99,"417,388","3,182","74,328","4,598",0.69,0.59,0.06,0.02
"(0.89, 0.9]",718,813,0.88,"418,106","2,464","75,141","3,785",0.65,0.61,0.05,0.01
"(0.9, 0.91]",602,681,0.88,"418,708","1,862","75,822","3,104",0.60,0.63,0.04,0.01
"(0.91, 0.92]",494,640,0.77,"419,202","1,368","76,462","2,464",0.56,0.64,0.03,0.01
"(0.92, 0.93]",401,593,0.68,"419,603",967,"77,055","1,871",0.52,0.66,0.02,0.01
"(0.93, 0.94]",332,526,0.63,"419,935",635,"77,581","1,345",0.47,0.68,0.02,0.00
"(0.94, 0.95]",274,455,0.60,"420,209",361,"78,036",890,0.41,0.71,0.01,0.00
"(0.95, 0.96]",196,426,0.46,"420,405",165,"78,462",464,0.36,0.74,0.01,0.00
"(0.96, 0.97]",114,294,0.39,"420,519",51,"78,756",170,0.30,0.77,0.00,0.00
"(0.97, 0.98]",47,148,0.32,"420,566",4,"78,904",22,0.18,0.85,0.00,0.00
"(0.98, 0.99]",4,22,0.18,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.99, 1.0]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
