,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(0.54, 0.55]",272,276,0.99,"177,476","2,769","28,878","4,947",0.56,0.64,0.15,0.04
"(0.55, 0.56]",223,264,0.84,"177,699","2,546","29,142","4,683",0.54,0.65,0.14,0.03
"(0.56, 0.57]",227,297,0.76,"177,926","2,319","29,439","4,386",0.53,0.65,0.13,0.03
"(0.57, 0.58]",219,234,0.94,"178,145","2,100","29,673","4,152",0.51,0.66,0.12,0.03
"(0.58, 0.59]",214,232,0.92,"178,359","1,886","29,905","3,920",0.48,0.68,0.12,0.03
"(0.59, 0.6]",174,228,0.76,"178,533","1,712","30,133","3,692",0.46,0.68,0.11,0.03
"(0.6, 0.61]",176,222,0.79,"178,709","1,536","30,355","3,470",0.44,0.69,0.10,0.02
"(0.61, 0.62]",128,227,0.56,"178,837","1,408","30,582","3,243",0.43,0.70,0.10,0.02
"(0.62, 0.63]",135,222,0.61,"178,972","1,273","30,804","3,021",0.42,0.70,0.09,0.02
"(0.63, 0.64]",127,191,0.66,"179,099","1,146","30,995","2,830",0.40,0.71,0.08,0.02
"(0.64, 0.65]",103,212,0.49,"179,202","1,043","31,207","2,618",0.40,0.72,0.08,0.02
"(0.65, 0.66]",118,216,0.55,"179,320",925,"31,423","2,402",0.39,0.72,0.07,0.02
"(0.66, 0.67]",113,192,0.59,"179,433",812,"31,615","2,210",0.37,0.73,0.07,0.01
"(0.67, 0.68]",81,190,0.43,"179,514",731,"31,805","2,020",0.36,0.73,0.06,0.01
"(0.68, 0.69]",86,181,0.48,"179,600",645,"31,986","1,839",0.35,0.74,0.05,0.01
"(0.69, 0.7]",92,169,0.54,"179,692",553,"32,155","1,670",0.33,0.75,0.05,0.01
"(0.7, 0.71]",82,175,0.47,"179,774",471,"32,330","1,495",0.32,0.76,0.04,0.01
"(0.71, 0.72]",68,163,0.42,"179,842",403,"32,493","1,332",0.30,0.77,0.04,0.01
"(0.72, 0.73]",66,164,0.40,"179,908",337,"32,657","1,168",0.29,0.78,0.03,0.01
"(0.73, 0.74]",49,162,0.30,"179,957",288,"32,819","1,006",0.29,0.78,0.03,0.01
"(0.74, 0.75]",57,139,0.41,"180,014",231,"32,958",867,0.27,0.79,0.03,0.01
"(0.75, 0.76]",37,128,0.29,"180,051",194,"33,086",739,0.26,0.79,0.02,0.00
"(0.76, 0.77]",38,111,0.34,"180,089",156,"33,197",628,0.25,0.80,0.02,0.00
"(0.77, 0.78]",34,115,0.30,"180,123",122,"33,312",513,0.24,0.81,0.02,0.00
"(0.78, 0.79]",34,117,0.29,"180,157",88,"33,429",396,0.22,0.82,0.01,0.00
"(0.79, 0.8]",19,80,0.24,"180,176",69,"33,509",316,0.22,0.82,0.01,0.00
"(0.8, 0.81]",19,57,0.33,"180,195",50,"33,566",259,0.19,0.84,0.01,0.00
"(0.81, 0.82]",17,54,0.31,"180,212",33,"33,620",205,0.16,0.86,0.01,0.00
"(0.82, 0.83]",6,44,0.14,"180,218",27,"33,664",161,0.17,0.86,0.00,0.00
"(0.83, 0.84]",11,50,0.22,"180,229",16,"33,714",111,0.14,0.87,0.00,0.00
"(0.84, 0.85]",3,35,0.09,"180,232",13,"33,749",76,0.17,0.85,0.00,0.00
"(0.85, 0.86]",3,19,0.16,"180,235",10,"33,768",57,0.18,0.85,0.00,0.00
"(0.86, 0.87]",5,15,0.33,"180,240",5,"33,783",42,0.12,0.89,0.00,0.00
"(0.87, 0.88]",2,9,0.22,"180,242",3,"33,792",33,0.09,0.92,0.00,0.00
"(0.88, 0.89]",3,11,0.27,"180,245",0,"33,803",22,0.00,1.00,0.00,0.00
"(0.89, 0.9]",0,10,0.00,"180,245",0,"33,813",12,0.00,1.00,0.00,0.00
"(0.9, 0.91]",0,6,0.00,"180,245",0,"33,819",6,0.00,1.00,0.00,0.00
"(0.91, 0.92]",0,3,0.00,"180,245",0,"33,822",3,0.00,1.00,0.00,0.00
"(0.92, 0.93]",0,0,nan,"180,245",0,"33,822",3,0.00,1.00,0.00,0.00
"(0.93, 0.94]",0,1,0.00,"180,245",0,"33,823",2,0.00,1.00,0.00,0.00
"(0.94, 0.95]",0,1,0.00,"180,245",0,"33,824",1,0.00,1.00,0.00,0.00
"(0.95, 0.96]",0,0,nan,"180,245",0,"33,824",1,0.00,1.00,0.00,0.00
"(0.96, 0.97]",0,1,0.00,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.97, 0.98]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.98, 0.99]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
"(0.99, 1.0]",0,0,nan,"180,245",0,"33,825",0,nan,nan,0.00,0.00
